"AAU,gene:lpg4092",lpg4092
"AAU26563,gene:lpg0466",lpg0466
"AAU26564,gene:lpg0467",lpg0467
"AAU26565,gene:lpg0468",lpg0468
"AAU26566,gene:lpg0469",lpg0469
"AAU26567,gene:lpg0470",lpg0470
"AAU26568,gene:lpg0471",lpg0471
"AAU26569,gene:lpg0472",lpg0472
"AAU26570,gene:lpg0473",lpg0473
"AAU26571,gene:lpg0474",lpg0474
"AAU26572,gene:lpg0475",lpg0475
"AAU26573,gene:lpg0476",lpg0476
"AAU26574,gene:lpg0477",lpg0477
"AAU26575,gene:lpg0478",lpg0478
"AAU26576,gene:lpg0479",lpg0479
"AAU26577,gene:lpg0480",lpg0480
"AAU26578,gene:lpg0481",lpg0481
"AAU26579,gene:lpg0482",lpg0482
"AAU26580,gene:lpg0483",lpg0483
"AAU26581,gene:lpg0484",lpg0484
"AAU26582,gene:lpg0485",lpg0485
"AAU26583,gene:lpg0486",lpg0486
"AAU26584,gene:lpg0487",lpg0487
"AAU26585,gene:lpg0488",lpg0488
"AAU26586,gene:lpg0489",lpg0489
"AAU26587,gene:lpg0490",lpg0490
"AAU26588,gene:lpg0491",lpg0491
"AAU26589,gene:lpg0492",lpg0492
"AAU26590,gene:lpg0493",lpg0493
"AAU26591,gene:lpg0494",lpg0494
"AAU26592,gene:lpg0495",lpg0495
"AAU26593,gene:lpg0496",lpg0496
"AAU26594,gene:lpg0497",lpg0497
"AAU26595,gene:lpg0498",lpg0498
"AAU26596,gene:lpg0499",lpg0499
"AAU26597,gene:lpg0500",lpg0500
"AAU26598,gene:lpg0501",lpg0501
"AAU26599,gene:lpg0502",lpg0502
"AAU26600,gene:lpg0503",lpg0503
"AAU26601,gene:lpg0504",lpg0504
"AAU26602,gene:lpg0505",lpg0505
"AAU26603,gene:lpg0506",lpg0506
"AAU26604,gene:lpg0507",lpg0507
"AAU26605,gene:lpg0508",lpg0508
"AAU26606,gene:lpg0509",lpg0509
"AAU26607,gene:lpg0510",lpg0510
"AAU26608,gene:lpg0511",lpg0511
"AAU26609,gene:lpg0512",lpg0512
"AAU26610,gene:lpg0513",lpg0513
"AAU26611,gene:lpg0514",lpg0514
"AAU26612,gene:lpg0515",lpg0515
"AAU26613,gene:lpg0516",lpg0516
"AAU26614,gene:lpg0517",lpg0517
"AAU26615,gene:lpg0518",lpg0518
"AAU26616,gene:lpg0519",lpg0519
"AAU26617,gene:lpg0520",lpg0520
"AAU26618,gene:lpg0521",lpg0521
"AAU26619,gene:lpg0522",lpg0522
"AAU26620,gene:lpg0523",lpg0523
"AAU26621,gene:lpg0525",lpg0525
"AAU26622,gene:lpg0526",lpg0526
"AAU26623,gene:lpg0527",lpg0527
"AAU26624,gene:lpg0528",lpg0528
"AAU26625,gene:lpg0529",lpg0529
"AAU26626,gene:lpg0530",lpg0530
"AAU26627,gene:lpg0531",lpg0531
"AAU26628,gene:lpg0532",lpg0532
"AAU26629,gene:lpg0533",lpg0533
"AAU26630,gene:lpg0534",lpg0534
"AAU26631,gene:lpg0535",lpg0535
"AAU26632,gene:lpg0536",lpg0536
"AAU26633,gene:lpg0537",lpg0537
"AAU26634,gene:lpg0538",lpg0538
"AAU26635,gene:lpg0539",lpg0539
"AAU26636,gene:lpg0540",lpg0540
"AAU26637,gene:lpg0541",lpg0541
"AAU26638,gene:lpg0542",lpg0542
"AAU26639,gene:lpg0543",lpg0543
"AAU26640,gene:lpg0544",lpg0544
"AAU26641,gene:lpg0546",lpg0546
"AAU26642,gene:lpg0547",lpg0547
"AAU26643,gene:lpg0548",lpg0548
"AAU26644,gene:lpg0549",lpg0549
"AAU26645,gene:lpg0550",lpg0550
"AAU26646,gene:lpg0551",lpg0551
"AAU26647,gene:lpg0552",lpg0552
"AAU26648,gene:lpg0553",lpg0553
"AAU26649,gene:lpg0554",lpg0554
"AAU26650,gene:lpg0556",lpg0556
"AAU26651,gene:lpg0557",lpg0557
"AAU26652,gene:lpg0558",lpg0558
"AAU26653,gene:lpg0559",lpg0559
"AAU26654,gene:lpg0560",lpg0560
"AAU26655,gene:lpg0561",lpg0561
"AAU26656,gene:lpg0562",lpg0562
"AAU26657,gene:lpg0563",lpg0563
"AAU26658,gene:lpg0564",lpg0564
"AAU26659,gene:lpg0565",lpg0565
"AAU26660,gene:lpg0566",lpg0566
"AAU26661,gene:lpg0567",lpg0567
"AAU26662,gene:lpg0568",lpg0568
"AAU26663,gene:lpg0572",lpg0572
"AAU26664,gene:lpg0573",lpg0573
"AAU26665,gene:lpg0574",lpg0574
"AAU26666,gene:lpg0577",lpg0577
"AAU26667,gene:lpg0578",lpg0578
"AAU26668,gene:lpg0579",lpg0579
"AAU26669,gene:lpg0580",lpg0580
"AAU26670,gene:lpg0581",lpg0581
"AAU26671,gene:lpg0582",lpg0582
"AAU26672,gene:lpg0583",lpg0583
"AAU26673,gene:lpg0584",lpg0584
"AAU26674,gene:lpg0585",lpg0585
"AAU26675,gene:lpg0586",lpg0586
"AAU26676,gene:lpg0587",lpg0587
"AAU26677,gene:lpg0588",lpg0588
"AAU26678,gene:lpg0589",lpg0589
"AAU26679,gene:lpg0590",lpg0590
"AAU26680,gene:lpg0591",lpg0591
"AAU26681,gene:lpg0592",lpg0592
"AAU26682,gene:lpg0593",lpg0593
"AAU26683,gene:lpg0594",lpg0594
"AAU26684,gene:lpg0595",lpg0595
"AAU26685,gene:lpg0596",lpg0596
"AAU26686,gene:lpg0597",lpg0597
"AAU26687,gene:lpg0598",lpg0598
"AAU26688,gene:lpg0599",lpg0599
"AAU26689,gene:lpg0600",lpg0600
"AAU26690,gene:lpg0601",lpg0601
"AAU26691,gene:lpg0602",lpg0602
"AAU26692,gene:lpg0603",lpg0603
"AAU26693,gene:lpg0604",lpg0604
"AAU26694,gene:lpg0605",lpg0605
"AAU26695,gene:lpg0606",lpg0606
"AAU26696,gene:lpg0607",lpg0607
"AAU26697,gene:lpg0608",lpg0608
"AAU26698,gene:lpg0609",lpg0609
"AAU26699,gene:lpg0610",lpg0610
"AAU26700,gene:lpg0611",lpg0611
"AAU26701,gene:lpg0612",lpg0612
"AAU26702,gene:lpg0613",lpg0613
"AAU26703,gene:lpg0614",lpg0614
"AAU26704,gene:lpg0615",lpg0615
"AAU26705,gene:lpg0616",lpg0616
"AAU26706,gene:lpg0617",lpg0617
"AAU26707,gene:lpg0618",lpg0618
"AAU26708,gene:lpg0619",lpg0619
"AAU26709,gene:lpg0620",lpg0620
"AAU26710,gene:lpg0621",lpg0621
"AAU26711,gene:lpg0622",lpg0622
"AAU26712,gene:lpg0623",lpg0623
"AAU26713,gene:lpg0624",lpg0624
"AAU26714,gene:lpg0625",lpg0625
"AAU26715,gene:lpg0626",lpg0626
"AAU26716,gene:lpg0627",lpg0627
"AAU26717,gene:lpg0628",lpg0628
"AAU26718,gene:lpg0629",lpg0629
"AAU26719,gene:lpg0630",lpg0630
"AAU26720,gene:lpg0631",lpg0631
"AAU26721,gene:lpg0632",lpg0632
"AAU26722,gene:lpg0633",lpg0633
"AAU26723,gene:lpg0634",lpg0634
"AAU26724,gene:lpg0635",lpg0635
"AAU26725,gene:lpg0636",lpg0636
"AAU26726,gene:lpg0637",lpg0637
"AAU26727,gene:lpg0638",lpg0638
"AAU26728,gene:lpg0639",lpg0639
"AAU26729,gene:lpg0640",lpg0640
"AAU26730,gene:lpg0641",lpg0641
"AAU26731,gene:lpg0642",lpg0642
"AAU26732,gene:lpg0643",lpg0643
"AAU26733,gene:lpg0644",lpg0644
"AAU26734,gene:lpg0645",lpg0645
"AAU26735,gene:lpg0646",lpg0646
"AAU26736,gene:lpg0647",lpg0647
"AAU26737,gene:lpg0648",lpg0648
"AAU26738,gene:lpg0649",lpg0649
"AAU26739,gene:lpg0650",lpg0650
